D_R,poly_id,objectid,geoid,Violent,Property,SqMi,VCDensity,vclag,PCDensity,pclag,TractID,Id2,Total_Pop,PAIProp,OccuProp,OwnerProp,Inc75K_,MandFHH_ch,Unemployment_fixed,ForeignPro,HispProp,SSIProp,BelowProp,BAup,EthnHerter,SameProp,Shape_Leng,Shape_Area,FAC1_1,FAC2_1,FAC3_1,FAC4_1
 ,95.00,95.00,55079002000,123.00,95.00,0.42,295.40,115.38,228.16,100.75,55079002000,55079002000,2534.00,0.11,0.12,0.41,0.11,0.41,0.09,0.02,0.01,0.18,0.32,0.12,0.27,0.72,14096.93,11607969.59,1.25,-0.90,-0.13,0.14
 ,96.00,96.00,55079001100,76.00,93.00,1.23,62.03,130.29,75.91,119.29,55079001100,55079001100,2317.00,0.02,0.16,0.34,0.10,0.35,0.03,0.01,0.02,0.12,0.26,0.20,0.34,0.89,28282.41,34154969.62,0.51,-0.51,0.07,0.60
 ,97.00,97.00,55079004300,171.00,169.00,0.76,223.99,121.63,221.37,104.50,55079004300,55079004300,4620.00,0.04,0.15,0.47,0.09,0.48,0.10,0.01,0.01,0.07,0.23,0.18,0.14,0.69,24577.15,21282611.77,0.54,-0.75,-0.21,0.24
 ,98.00,98.00,55079002300,147.00,122.00,0.71,207.12,95.40,171.89,82.80,55079002300,55079002300,4015.00,0.03,0.12,0.49,0.09,0.42,0.15,0.02,0.06,0.15,0.29,0.12,0.20,0.85,21671.96,19786430.93,0.73,-0.48,0.33,-0.14
 ,99.00,99.00,55079002200,33.00,29.00,0.44,75.15,110.60,66.04,93.80,55079002200,55079002200,1956.00,0.06,0.06,0.56,0.20,0.34,0.08,0.09,0.14,0.08,0.33,0.17,0.53,0.82,31229.76,12241671.33,0.25,-0.05,0.43,-0.78
 ,100.00,100.00,55079007400,11.00,14.00,0.35,31.20,21.50,39.71,69.50,55079007400,55079007400,4055.00,0.00,0.04,0.68,0.59,0.04,0.01,0.04,0.05,0.08,0.20,0.78,0.34,0.46,13010.02,9829477.23,-1.10,-1.29,-0.02,0.42
 ,101.00,101.00,55079007300,27.00,71.00,0.27,100.03,20.17,263.04,69.67,55079007300,55079007300,2789.00,0.01,0.05,0.35,0.24,0.04,0.04,0.02,0.01,0.01,0.37,0.72,0.41,0.67,13228.45,7525049.08,-1.30,-0.75,-1.26,-0.01
 ,102.00,102.00,55079120200,0.00,0.00,0.00,0.00,12.00,0.00,18.00,55079120200,55079120200,3690.00,0.01,0.12,0.50,0.26,0.08,0.02,0.07,0.06,0.02,0.13,0.24,0.22,0.91,13.44,0.98,-0.48,-0.16,0.67,0.13
 ,103.00,103.00,55079019700,35.00,39.00,0.73,48.14,21.50,53.65,30.25,55079019700,55079019700,5505.00,0.01,0.06,0.59,0.37,0.08,0.02,0.14,0.18,0.03,0.08,0.25,0.20,0.89,18647.07,20267560.07,-0.98,0.37,0.83,-0.74
 ,104.00,104.00,55079185100,0.00,0.00,0.00,0.00,9.00,0.00,26.00,55079185100,55079185100,4576.00,0.03,0.08,0.43,0.24,0.08,0.02,0.08,0.10,0.04,0.15,0.40,0.20,0.85,4328.43,106975.38,-0.58,-0.18,0.22,-0.07
 ,105.00,105.00,55079020500,28.00,78.00,0.18,151.83,46.60,422.96,82.40,55079020500,55079020500,3079.00,0.04,0.11,0.45,0.14,0.33,0.05,0.25,0.67,0.09,0.22,0.09,0.40,0.86,9180.06,5141108.23,-0.08,2.21,0.16,-0.41
 ,106.00,106.00,55079019200,19.00,30.00,0.55,34.47,23.17,54.42,42.83,55079019200,55079019200,3143.00,0.04,0.10,0.69,0.27,0.22,0.04,0.06,0.26,0.05,0.13,0.24,0.32,0.92,19623.06,15367874.78,-0.30,0.07,1.19,-0.41
 ,107.00,107.00,55079018800,23.00,38.00,0.36,63.88,69.33,105.54,91.50,55079018800,55079018800,2178.00,0.08,0.12,0.52,0.14,0.30,0.05,0.31,0.80,0.17,0.34,0.05,0.34,0.86,12638.10,10037830.25,0.60,2.61,0.43,-0.06
 ,108.00,108.00,55079185200,0.00,0.00,0.00,0.00,18.50,0.00,34.00,55079185200,55079185200,4956.00,0.06,0.11,0.53,0.24,0.17,0.03,0.04,0.14,0.09,0.10,0.22,0.21,0.83,4848.84,62469.78,-0.22,-0.31,0.48,-0.24
 ,109.00,109.00,55079090900,0.00,0.00,0.00,0.00,16.25,0.00,31.25,55079090900,55079090900,3914.00,0.01,0.12,0.51,0.48,0.07,0.02,0.03,0.03,0.01,0.07,0.57,0.25,0.81,4009.48,40980.10,-1.24,-0.77,0.34,0.82
 ,110.00,110.00,55079002700,72.00,51.00,0.26,271.71,110.43,192.46,100.29,55079002700,55079002700,2153.00,0.06,0.20,0.24,0.16,0.34,0.08,0.08,0.00,0.17,0.36,0.08,0.13,0.71,10895.44,7387380.48,1.10,-0.36,-0.54,1.44
 ,111.00,111.00,55079002600,146.00,118.00,0.27,541.15,107.83,437.37,91.67,55079002600,55079002600,2867.00,0.01,0.06,0.36,0.12,0.47,0.08,0.00,0.02,0.19,0.35,0.13,0.11,0.69,11648.41,7521403.49,0.71,-0.76,-0.43,-0.82
 ,112.00,112.00,55079005100,132.00,130.00,0.93,141.45,67.13,139.31,97.00,55079005100,55079005100,3491.00,0.05,0.13,0.30,0.11,0.20,0.08,0.07,0.03,0.16,0.34,0.10,0.34,0.75,20710.25,26016023.96,0.40,-0.19,-0.67,0.21
 ,113.00,113.00,55079000300,4.00,7.00,0.77,5.21,59.80,9.12,80.60,55079000300,55079000300,1462.00,0.00,0.07,0.90,0.40,0.12,0.03,0.05,0.02,0.03,0.03,0.29,0.26,0.88,21869.69,21389730.62,-1.03,-0.52,1.57,-0.83
 ,114.00,114.00,55079110100,0.00,0.00,0.02,0.00,45.20,0.00,84.20,55079110100,55079110100,4200.00,0.04,0.10,0.41,0.20,0.28,0.06,0.13,0.30,0.07,0.26,0.20,0.46,0.78,12355.34,606702.22,-0.12,0.61,-0.15,-0.17
 ,115.00,115.00,55079017200,29.00,42.00,0.18,160.31,48.17,232.18,81.50,55079017200,55079017200,2945.00,0.05,0.11,0.55,0.17,0.23,0.03,0.32,0.78,0.08,0.22,0.10,0.54,0.95,11201.89,5043027.77,-0.11,2.77,0.76,-0.29
 ,116.00,116.00,55079017100,41.00,77.00,0.25,164.40,59.67,308.74,82.33,55079017100,55079017100,2897.00,0.01,0.08,0.61,0.17,0.31,0.03,0.36,0.77,0.09,0.17,0.09,0.58,0.97,12732.04,6952785.03,-0.44,3.05,0.90,-0.98
 ,117.00,117.00,55079002800,111.00,70.00,0.25,437.36,112.00,275.81,96.57,55079002800,55079002800,2294.00,0.10,0.09,0.27,0.16,0.44,0.15,0.04,0.04,0.20,0.33,0.05,0.32,0.77,10674.18,7075384.63,1.33,-0.70,-0.12,-0.31
 ,118.00,118.00,55079001700,144.00,162.00,0.51,281.68,101.29,316.89,122.86,55079001700,55079001700,4607.00,0.07,0.01,0.39,0.19,0.47,0.08,0.04,0.03,0.11,0.21,0.13,0.44,0.78,16691.72,14251914.18,0.35,-0.65,0.05,-1.69
 ,119.00,119.00,55079001400,99.00,70.00,0.43,230.77,118.00,163.17,130.80,55079001400,55079001400,2360.00,0.06,0.10,0.23,0.23,0.34,0.04,0.12,0.03,0.12,0.28,0.14,0.56,0.78,15268.79,11959968.44,0.36,-0.12,-0.41,-0.05
 ,120.00,120.00,55079000500,162.00,126.00,0.69,235.31,87.33,183.02,108.00,55079000500,55079000500,4934.00,0.05,0.06,0.25,0.10,0.46,0.08,0.08,0.06,0.11,0.32,0.13,0.47,0.76,20189.69,19193126.65,0.37,-0.18,-0.63,-0.95
 ,121.00,121.00,55079120200,0.00,0.00,0.02,0.00,16.00,0.00,27.00,55079120200,55079120200,3062.00,0.02,0.13,0.52,0.25,0.18,0.01,0.08,0.16,0.01,0.12,0.23,0.25,0.90,3937.72,532008.78,-0.56,0.17,0.57,0.03
 ,122.00,122.00,55079004100,109.00,106.00,0.56,195.80,116.88,190.41,97.13,55079004100,55079004100,2641.00,0.03,0.11,0.42,0.13,0.39,0.07,0.00,0.03,0.09,0.26,0.20,0.28,0.76,19592.89,15519642.73,0.24,-0.66,-0.20,-0.29
 ,123.00,123.00,55079091400,0.00,0.00,0.00,0.00,16.00,0.00,32.00,55079091400,55079091400,2297.00,0.01,0.12,0.62,0.55,0.08,0.02,0.05,0.04,0.02,0.02,0.55,0.24,0.92,1498.24,19539.82,-1.28,-0.69,1.08,0.68
 ,124.00,124.00,55079006100,112.00,91.00,0.20,557.37,137.43,452.87,119.86,55079006100,55079006100,2276.00,0.14,0.12,0.37,0.19,0.41,0.05,0.03,0.02,0.18,0.38,0.22,0.24,0.85,9534.57,5601925.32,1.74,-1.07,0.53,0.78
