D_R,poly_id,objectid,geoid,Violent,Property,SqMi,VCDensity,vclag,PCDensity,pclag,TractID,Id2,Total_Pop,PAIProp,OccuProp,OwnerProp,Inc75K_,MandFHH_ch,Unemployed,ForeignPro,HispProp,SSIProp,BelowProp,BAup,EthnHerter,SameProp,Shape_Leng,Shape_Area,FAC1_1,FAC2_1,FAC3_1,FAC4_1
 ,1,1,55131470204,0,0,.02878247409,0,125,0,114,55131470204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3868.34015978,802406.115899,-2.58605839541087,-.310096245268408,-4.63166978240905,-3.20704592104683
 ,2,2,55079186100,87,71,.19482456587,446.555595341,66.3333333,364.430428382,56.3333333,55079186100,55079186100,2092,.0874471086,.13961605585,.22143864598,.05923836389,.63095238095,.42361111111,.07839388145,.04015296367,.17348377997,.47954866009,.066860465,.46201156916,.81135802469,9583.09066399,5431375.45093,1.72608009372509,-.333172436426606,-.331052676877601,.508578103133298
 ,3,3,55079185800,61,51,.1695372946,359.802839517,72.8571429,300.818767465,65.4285714,55079185800,55079185800,1449,.06048387097,.01957295374,.66733870968,.08467741935,.23547400612,.36085343228,.016563147,.04071773637,.08064516129,.16935483871,.126745435,.14828912731,.87137809187,9138.20333907,4726409.60734,.0931314874668715,-.611949162675288,.818856519413167,-1.86155466997522
 ,4,4,55079185400,76,67,.27520131228,276.161473837,81.5714286,243.458141409,62.2857143,55079185400,55079185400,1452,.06194690265,.06982543641,.36725663717,.10398230089,.46846846847,.44878048781,.00826446281,0,.17699115044,.48672566372,.132098765,.27624336908,.6965901183,11297.9023394,7672141.57446,1.22218020659448,-.89621091898556,-.381883732960153,-.475777503054124
 ,5,5,55079185900,32,34,.18623497658,171.825940475,69.2857143,182.565061755,61,55079185900,55079185900,1065,.04456824513,0,.42339832869,.24233983287,.44921875,.38151041667,.1117370892,0,.15598885794,.23676880223,.220103986,.47474619233,.77840375587,9993.27884695,5191912.40272,.339273462177948,-.470198482843576,.239500263533026,-1.49944048521807
 ,6,6,55079000101,185,156,1.53611567216,120.43363879,100,101.554852169,108.6666667,55079000101,55079000101,4469,.04225959465,.01942857143,.234152652,.16472617508,.46359743041,.44347826087,.02260013426,.03513090177,.13281586891,.31608451919,.328167377,.4968835559,.81780727855,26666.3352695,42824275.8517,.649400570472965,-.840573826573835,-.117030517753831,-.853190665413208
 ,7,7,55079016100,51,78,.22832204179,223.368710262,68.5,341.622733342,91.3333333,55079016100,55079016100,3624,.01917255298,.06746826987,.5156407669,.11099899092,.27750611247,.34233485667,.26103752759,.73841059603,.06458123108,.27245206862,.041314087,.51835887437,.96082299887,12911.9291121,6365227.74812,-.262243492343565,2.56710905596599,.560087734191751,-1.20407649214152
 ,8,8,55079007000,112,99,.25613304006,437.272754713,56.875,386.517881398,77.25,55079007000,55079007000,2811,.10112359551,.09176915799,.20037453184,.10767790262,.40435458787,.39544609665,.0547847741,.07897545358,.14794007491,.42509363296,.056419113,.32436085759,.77659196016,10947.6079062,7140550.78079,1.20111004713485,-.387617459246711,-.499934237364883,-.165218048537826
 ,9,9,55079021200,20,27,.74797047698,26.7390232842,24.6666667,36.0976814337,54.7777778,55079021200,55079021200,2346,.02694610778,.07249070632,.65069860279,.24051896208,.10382513661,.39276066991,.11295822677,.18030690537,.08283433134,.12375249501,.163875598,.2259020996,.8738699957,21015.1439514,20852136.7341,-.370567599664695,.247189010938493,.901740239466308,-.799302472398749
 ,10,10,55079008700,75,53,.12710753782,590.051552302,99.1666667,416.969763627,77,55079008700,55079008700,1304,.1074168798,.01351351351,.36061381074,.0179028133,.56985294118,.56894409938,0,.06825153374,.273657289,.452685422,.103503185,.01973987542,.94708588957,7976.99072453,3543540.60769,2.37627251712543,-1.01975983607755,.85240814100817,-1.09569470848414
