D_R	poly_id	objectid	geoid	Violent	Property	SqMi	VCdensity	vclag	PCdensity	pclag	TractID	Id2	Total_Pop	PAIProp	OccuProp	OwnerProp	MandFHH_ch	ForeignPro	EthnHerter	HispProp	Unemployed_Fixed	Inc75K_	BAup	SSIProp	BelowProp	SameProp	Shape_Leng	Shape_Area	FAC1_1	FAC2_1	FAC3_1
 	680	680	17031750500	86	272	1.017922137	84.4858333	35.4285714	267.2110077	91.1428571	17031750500	17031750500	6403	0.078581696	0.115230461	0.593195975	0.281582953	0.04529127	0.386454484	0.06184601	0.084884885	0.334930522	0.313092057	0.067561092	0.150455199	0.924626279	24118.08288	28377926.99	0.403518049	-1.002469066	1.275801949
 	681	681	17031750600	61	157	0.508258133	120.0177548	59.7142857	308.8981559	133.4285714	17031750600	17031750600	3426	0.088576159	0.132953466	0.649006623	0.246334311	0.024226503	0.168072506	0	0.089563567	0.207781457	0.170874662	0.211092715	0.313741722	0.908224076	16651.58526	14169366.86	1.08632263	-1.441818595	1.250108707
 	682	682	17031760801	10	39	0.502084971	19.91694748	9	77.67609518	40.5	17031760801	17031760801	4020	0.009887006	0.168659266	0.217514124	0.097777778	0.488059701	0.506077263	0.099253731	0.042348131	0.300376648	0.493746091	0.019774011	0.117231638	0.785933504	18361.15943	13997269.67	-0.643079116	0.997093741	-1.061214583
 	683	683	17031760802	2	8	2.399086649	0.83365059	7.6666667	3.33460236	26	17031760802	17031760802	2540	0	0.106086957	0.739946381	0.084664537	0.329527559	0.096796454	0.035433071	0.035698147	0.352993744	0.32017982	0.039320822	0.104557641	0.929369513	54159.01984	66882429.68	-0.382320847	0.048582821	1.555600823
 	684	684	17031760803	22	49	0.293572856	74.93880843	5.25	166.9091642	34.75	17031760803	17031760803	5579	0.005772006	0.102280827	0.395382395	0.11533052	0.627711059	0.263757829	0.052159885	0.063569166	0.16991342	0.290819745	0.053751804	0.174603175	0.826767404	17734.07521	8184308.764	-0.101736503	1.368936808	-0.297209151
 	685	685	17031770500	1	0	0.068310832	14.63896673	48	0	419	17031770500	17031770500	4142	0	0.147249191	0.615176152	0.15776987	0.428778368	0.368546139	0.806132303	0.03626022	0.135501355	0.079719667	0.021680217	0.192411924	0.917984911	8389.305913	1904389.087	-0.039816393	2.034790956	0.481502992
 	686	686	17031770602	1	0	0.285070266	3.507907063	48	0	419	17031770602	17031770602	5285	0.02739726	0.108097484	0.48132005	0.127139364	0.48666036	0.492391651	0.554777673	0.046848989	0.360523039	0.211740654	0.024283935	0.174346202	0.894686544	21807.00295	7947271.117	-0.148403226	1.615926576	0.33948042
 	687	687	17031770700	1	3	0.299628085	3.337470849	25	10.01241255	213.5	17031770700	17031770700	2643	0.015332198	0.070652174	0.465076661	0.060029283	0.21528566	0.182026953	0.113885736	0.051362215	0.374787053	0.232394366	0.025553663	0.082623509	0.921732523	26875.9961	8353118.199	-0.393570774	0.224062708	0.769040342
 	688	688	17031770800	0	2	0.024145615	0	48	82.83077424	419	17031770800	17031770800	5463	0.01270971	0.144211239	0.660396543	0.077556623	0.390261761	0.307332315	0.230642504	0.043146655	0.309608541	0.203330848	0.038637519	0.079308592	0.921654768	3715.827466	673138.4256	-0.457028653	0.736355449	1.008568637
 	689	689	17031770902	0	0	0.005877694	0	12	0	28.5	17031770902	17031770902	3634	0.011772853	0.166561911	0.77700831	0.022988506	0.350853054	0.13836893	0.055586131	0.018597064	0.423822715	0.253576538	0.043628809	0.105263158	0.870380739	2945.004007	163860.0491	-0.538890512	-0.001251731	1.426712871
 	690	690	17031810400	3	13	0.126269576	23.75869223	6.3333333	102.954333	51.6666667	17031810400	17031810400	5368	0.004495505	0.16440933	0.902597403	0.06504065	0.157600596	0.108376923	0.079359165	0.015865498	0.669330669	0.53968254	0.036463536	0.044455544	0.964011246	12634.92974	3520179.673	-1.122109265	-0.831547688	2.124486872
