D_R,poly_id,objectid,geoid,Violent,Property,SqMi,VCdensity,vclag,PCdensity,pclag,TractID,Id2,Total_Pop,PAIProp,OccuProp,OwnerProp,MandFHH_ch,ForeignPro,EthnHerter,HispProp,Unemployed,Inc75K_,BAup,SSIProp,BelowProp,SameProp,Shape_Leng,Shape_Area,FAC1_1,FAC2_1,FAC3_1
 ,1,1,17031010100,79,135,.14713263197,536.930515965,55.5,917.539489307,236.5,17031010100,17031010100,4444,.03825622776,.10561330561,.16192170819,.30351075878,.16494149415,.57948160365,.09225922592,.26247533127,.22419928826,.35800893427,.09608540925,.3109430605,.83731513083,9313.26122403,4101805.95935,.425108491506311,-.0490651284800831,-.986561315134284
 ,2,2,17031010201,47,181,.19478164076,241.295841937,36.25,929.24568916,134,17031010201,17031010201,7197,.07153558052,.10930009588,.2925093633,.14870825457,.37001528415,.59116298072,.22606641656,.39398255296,.2393258427,.29815613966,.09325842697,.24157303371,.70364074231,9303.49358926,5430178.77217,.346768457148098,.592643727393179,-.862265751433774
 ,3,3,17031010202,75,292,.135802941,552.27080832,42.3333333,2150.17434706,131.6666667,17031010202,17031010202,2487,.06045081967,.10539215686,.26844262295,.17745803357,.38721351025,.6464672186,.28829915561,.37088305489,.21413934426,.31532033426,.08196721311,.20389344262,.82210353328,8288.3633604,3785953.56612,.322748761921201,.832585814860217,-.51615228302744
 ,4,4,17031010300,36,181,.18225218703,197.528493821,48.8333333,993.129371711,138.6666667,17031010300,17031010300,6413,.05130784708,.19752302318,.30751173709,.08563273073,.24419148604,.55142472497,.18774364572,.40159151194,.25083836351,.34885068573,.05130784708,.16230717639,.80551130933,9858.64575141,5080879.04672,-.119606030029147,.153299518798348,-.429087330273373
 ,5,5,17031010400,36,107,.21188144648,169.90633488,20.8333333,504.999384227,91.1666667,17031010400,17031010400,5411,.0550802139,.10702215546,.18449197861,.11944444444,.10811310294,.46646155437,.07207540196,.3903407903,.26684491979,.63573085847,.03315508021,.20320855615,.66404494382,14234.6904902,5906892.08906,-.140287822052085,-.370340050980699,-1.24078680319489
 ,6,6,17031010501,22,70,.07805335213,281.858490357,32.5,896.822469319,127.25,17031010501,17031010501,4081,.02896081772,.12743506494,.12052810903,.17918088737,.25018377849,.59696529978,.09703504043,.24540214109,.14735945485,.55049378783,.05919931857,.20229982964,.83092269327,6869.00255748,2175993.86786,-.0711570311935964,.330966389722311,-1.19712550129086
 ,7,7,17031010502,12,70,.06964177102,172.310379592,29.75,1005.14388095,92.5,17031010502,17031010502,2631,.03521594684,.14349276974,.1853820598,.109375,.25655644242,.55585430619,.06423413151,.22588623248,.16611295681,.52056277056,.07441860465,.22259136213,.75431861804,6187.58465568,1941493.38297,-.173113709387774,.226522343985475,-1.33621405205185
 ,8,8,17031010503,15,42,.07501185164,199.968400617,26.8,559.911521728,102.4,17031010503,17031010503,2047,.03336510963,.09426229508,.1906577693,.16465863454,.27063996092,.43788603385,.1372740596,.44409448819,.20305052431,.37983929876,.12202097236,.45757864633,.8067100651,5823.42138766,2091202.03968,.722188929015099,.144868347972981,-.855700789022953
 ,9,9,17031010600,46,151,.19110771223,240.701955261,32.125,790.130331401,125.75,17031010600,17031010600,6515,.02138322753,.14555859667,.21049114601,.1300659755,.2442056792,.56517528179,.22900997698,.19136793294,.24490477782,.47152034261,.05913798864,.22753090545,.83959202596,13409.113743,5327755.93294,-.268963264793687,.489947940583449,-.977543977784799
 ,10,10,17031010701,11,65,.16590405296,66.3033832146,38.7142857,391.792718995,134.2857143,17031010701,17031010701,3833,.01895424837,.09550827423,.48692810458,.17532467533,.35272632403,.58659516145,.35455256979,.25619557937,.35555555556,.43111771259,.03921568627,.16339869281,.88201058201,8818.61827465,4625121.04879,-.343923903273285,.842607430961006,.16951820345151
 ,11,11,17031010702,35,77,.13805345659,253.524981305,40.5,557.75495887,164,17031010702,17031010702,5333,.04978038067,.07179312691,.2298682284,.27092050209,.40465029064,.60144733872,.39133695856,.22746461386,.22401171303,.43638525565,.03318692045,.26159102001,.82925911997,8326.46292963,3848694.08878,.156570717933632,1.29440907621909,-1.00987065671162
 ,12,12,17031020100,24,102,.15881146098,151.12259438,22.8,642.271026116,119.4,17031020100,17031020100,4208,.10041841004,.16530849825,.46513249651,.16253101737,.40066539924,.75005071365,.22504752852,.41234347048,.27963737796,.32027075169,.10320781032,.15690376569,.85325558795,8789.13996148,4427391.72348,.267444628622502,.366936747757573,.204543409162658
 ,13,13,17031020200,21,148,.47953316294,43.7925916761,17,308.633503241,93,17031020200,17031020200,6905,0,.12218865391,.75139405204,.08534621578,.31020999276,.54658028347,.16466328747,.35461276766,.52741635688,.46892014519,.0218401487,.10083643123,.92387018502,15441.9642541,13368563.8537,-.812221732877026,.0892632257220421,1.40241783802526
